city,date,temperature,feels_like,cloudiness,wind_speed,humidity
Berlin,29-06-2023,22.03,22.09,0,2.24,69
berlin,04-04-2023,1.4,-2.5,59.333333333333336,11.6,70.12
Berlin,29-06-2023,21.27,21.33,0,2.06,72
